property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
"Furnished 2bdrm Apartment in School Groove, Westlands for rent",Apartment,"* both bedrooms en suite.
* separate guest cloakroom.
* open plan American-style kitchen.
* very tastefully furnished with high end furniture and awesome interior decor.
* free high speed Wi-Fi.
* washing machine.
* safe for valuables.
* heater in case of cold weather.
* gym.
* full backup generator.
* double elevators.
* borehole.
* ample parking.
* UN approved security concierge.
* many extras!
* daily rates apply at 8,500.",2 bedrooms,3 bathrooms,Not available,School Lane,School Groove,195,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Serviced

|



Walk In Closet","BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
"1bdrm Apartment in Corner, Ruiru for rent",Apartment,"Executive and Spacious One Bedroom in Ruiru Corner off Eastern bypass
Spacious one Bedroom Apartments Available 
For Rent | KES 15,000 per month 
DM or Call",1 bedroom,1 bathroom,Not available,Corner,Corner,90,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Serviced

|



Walk In Closet","BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
1bdrm Apartment in South B for Rent,Apartment,"One bedrooms South B,000/=. It's well lit with natural light, spacious enough, kitchen has fitted cabinets and a balcony with a washing area, bedroom has fitted wardrobes, has water throughout, ample underground parking, it's ready for occupation immediately. To schedule viewing and to get more options within the environment call Maryanne",1 bedroom,1 bathroom,Not available,Sanasana,Renovated,,No Pets,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Backup Generator

|



Furnished","Garden

|



Gym

|



Parking",,
3bdrm Apartment in Madaraka for rent,Apartment,"Executive 3bedroom to let in madaraka spacious rooms well lit,master ensuit,washing area,dedicated parking ,water storage.",3 bedrooms,2 bathrooms,Not available,madaraka,madaraka,40,Newly-Built,Unfurnished,,Not available,2000,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Serviced

|



Service Charge Included","BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Gym

|



Parking

|



Wheelchair Access

|



Gated Community",,
2bdrm Apartment in Kiambu Town for rent,Apartment,"TWO BEDROOM APARTMENT LETTING NOW
Rent Ksh 26000/-
Spacious,New one Bedroom Kiambu -Umoja
 Spacious rooms
Well lit
Modern fittings and finishing
Inbuilt closets
Ample parking
Schools Available within
Laundry Section
Borehole backup
Internet facilities available
Good proximity to tarmac
Constant water supply with borehole backup
Serene environment
Good view of Kiambu sceneries
 For viewing and booking call/WhatsApp us on",2 bedrooms,1 bathroom,Not available,Kiambu Umoja Off Old Kiambu Road,Kiambu Town,60,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,10/05/2024,"Aircon

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Parking

|



Swimming Pool

|



Gated Community",,
1bdrm Apartment in South B for rent,Apartment,"Spacious one bedroomed to let in south b,very spacious,open plan kitchen,tight security,water ,garbage,and security inclusive ready for occupation for viewing and more options call us on",1 bedroom,1 bathroom,Not available,South b,South b,2000,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"En Suite

|



Backup Generator","Balcony

|



Electric Fence

|



Borehole

|



Garden

|



Parking

|



Staff Quarters

|



Gated Community",,
4bdrm Bungalow in Kitengela for rent,Bungalow,"3 Bedroom Plus SQ Bungalow in Kitengela for rent. This newly built bungalow is located within a gated community 100m off tarmac. it features sitting and dining area, master bedroom ensuite, washing bay, 24 hr security, adequate water supply and close proximity to amenities. kindly Call us on",4 bedrooms,3 bathrooms,Not available,Kitengela,"145
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,Not available,Not available,,
4bdrm Townhouse in Hardy for Rent,Townhouse,"The house is in a gated community, very spacious, good security, ample parking and nearby to the shopping center",4 bedrooms,5 bathrooms,Not available,Karen hardy,Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Backup Generator

|



Furnished

|



Service Charge Included",Parking,,
"2bdrm Apartment in Van Harvest, Kahawa Maziwa for Rent",Apartment,"A newly built 2 bedrooms, affordable prices for middle income.
Well planed with open kitchen.
Ample and adequate parking space.
Service fee inclusive of rent.",2 bedrooms,2 bathrooms,Not available,maziwa road,Van Harvest,90,Newly-Built,Unfurnished,,"Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, 24-hour Electricity, Apartment, Tiled Floor, Balcony, Pre-Paid Meter, Wi-Fi, Wardrobe",Pets Allowed,Not available,,Not available,kenya,,,10/05/2024,"Backup Generator

|



Alarm

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Gated Community

|



Kids Play Area",,
3bdrm Apartment in Kileleshwa for Rent,Apartment,"KEY NOTES
* Exclusive Three Bedrooms All Ensuite Apartment
* Self contained servants Quarter with dual access
* The apartment block occupies 0.49 acres
* Each house occupies a plinth area of 225sqm
* It's a 12 story tower
House Features
* Private entrance lobby 
* Expansive lounge opening onto a large balcony
* Spacious kitchen fitted with drawers and cupboards
* Large kitchen pantry
* Spacious laundry area
* Master bedroom with bathtub, shower cubical, and large balcony
Shared Amenities
* Swimming Pool for both adults and kids
* Well equipped Gym 
* Jogging Track 
* Conference Room/Community Hall
* Panoramic Lifts 
* Borehole to supplement City water supply
* Back Up Generator 
* 24 Hour CCTV Surveillance
* Intercom in every house
* Common Satellite Dish and Antennas
Ready for Occupation",3 bedrooms,4 bathrooms,Not available,Nyeri Road,"225
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Wheelchair Access

|



Kids Play Area",,
"Mini Flat in Kwa Manji, Kiserian for rent",Mini Flat,"Carpark available, 200mtrs from Tarmac",2 bedrooms,1 bathroom,Not available,Kwa chief,Kwa manji,12,Newly-Built,Semi-Furnished,,Not available,1,Not available,,Not available,kenya,,,10/05/2024,"Fibre Internet

|



En Suite","Balcony

|



Electric Fence

|



Garden

|



Parking

|



Gated Community",,
"Furnished 3bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent",Apartment,"This is a furnished apartment in Jacaranda Gardens, along Kamiti road.
Fully furnished and apartment.and ready for occupation.
It provides ambiance and ample living in the centre of the city.
Conveniently located dor both Matatu community and private car owners.
Very accessible during off pick and pick hours. 
Giod security for residents is provided.
Homely feeling as most say, Jacaranda Gardens is deaigned to give you what you would miss while traveling the world.
You can visit our youtube channel dor more videos.",3 bedrooms,3 bathrooms,Not available,Kamiti Road,Jacaranda Gardens,132,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



Fibre Internet

|



Furnished

|



Serviced

|



Service Charge Included","CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Kids Play Area",,
Spacious Master Ensuit One Bedroom Apartment in Muthiga,Block of Flats,"Master ensuit
installed instant showers 
closed inbuilt wardrobes
own balcony
secure round the clock
consistent clean water supply
near the highway
enough parking",1 bedroom,2 bathrooms,Not available,Mùthiga,Skyman Properties,,Unfurnished,Pets Allowed,,1000,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",1000,,Not available,kenya,,,10/05/2024,"En Suite

|



Fibre Internet

|



Service Charge Included","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area

|



Gated Community",,
"Furnished 2bdrm Apartment in Amani Court A, Katani for rent",Apartment,"Modern 2 bedroom fully furnished & fully serviced apartments in secure gated community.
5 minutes away from J.KI.A & S.G.R
15 minutes from Westlands @ competitive monthly rate.
night for short stayers.",2 bedrooms,3 bathrooms,Not available,Katani road,Amani court A Syokimart,5000,Fairly Used,Furnished,,Not available,No Pets,Not available,,Not available,kenya,,,25/04/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Parking",,
3bdrm Apartment in Kilimani for rent,Apartment,"This stunning 3 bedroom all ensuite apartment with excellent finishes with elevator service, top notch security system, ample and safe parking space, adequate water supply and easy access to public transport, schools and many social amenities is up for rent.
The apartment is available for rent immediately and has WiFi connectivity from 3 major ISPs.
Rent is inclusive of service charge.
Please call us on",3 bedrooms,3 bathrooms,Not available,Elgeyo Markakwet road,"110
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,Not available,Not available,Not available,,
2bdrm Apartment in Kilimani for rent,Apartment,"This spacious 2 bedroom master ensuite apartment in a very secure and quiet apartment complex with adequate supply of water and ample vehicle parking space is up for rent.
The apartment has easy access to public transport, schools and many social amenities.
It has WiFi connectivity from 3 major ISPs and is only 3km from the CBD.
Rent is inclusive of service charge. 
Please call us on",2 bedrooms,2 bathrooms,Not available,Yaya center,"100
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,25/04/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Garden

|



Borehole",,
Elegant One Bedroom Flat In Westlands For Rent,Apartment,Clean and well kept one bedroom in Westlands near Mpaka Road it has a large kitchen with inbuilt cabinets beautiful tiles on the floor and balcony,1 bedroom,1 bathroom,Not available,Unfurnished,4,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Backup Generator

|



En Suite

|



Fibre Internet

|



Alarm

|



Walk In Closet

|



Service Charge Included","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Wheelchair Access

|



Gated Community

|



Kids Play Area",,
1bdrm Apartment in Hurlingham for Rent,Apartment,Yaya centre one bedroom apartment excellent condition is available for rent ideal location very close to public transport and shopping mall,1 bedroom,1 bathroom,Not available,Yaya Centre,Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,Furnished,"Electric Fence

|



Garden

|



Balcony

|



Parking

|



Staff Quarters

|



Gated Community",,
"3bdrm Apartment in Skyman Properties, Kikuyu for rent",Apartment,"Master ensuit three bedroom apartment in kikuyu
48,000/=
 
pantry
master ensuit
two private balconies
airy and well naturally lit
separate bathroom and toilet
 allocated parking lot
secure round the clock 
washing machine provision
 consistent clean water 
 
 everyone highlight skyman properties",3 bedrooms,2 bathrooms,Not available,Kikuyu,Skyman Properties,100,Fairly Used,Unfurnished,,1500,2,Not available,,Not available,kenya,,,10/05/2024,En Suite,"Parking

|



Balcony",,
Furnished Studio Apartment in Kilimani for rent,Studio Apartment,"Studio in Kilimani, Along Wood Avenue. Walking distance from yaya centre, Adlife plaza, Chandarana food plus supermarket. 30 minutes away from JKIA.
Features and amenities
 Fully equipped gym
 A restaurant within the ground floor
 Intercom system
 24 hours CCTV and manned security
 Borehole and water purifier system
 Backup generator
 Access control system
 High speed lifts",1 bedroom,1 bathroom,Not available,Wood Avenue,Kilimani,35,Newly-Built,Furnished,,Not available,1,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
"Furnished 1bdrm Apartment in Siaya Park, Kileleshwa for rent",Apartment,"Fully furnished one bedroom available in kileleshwa for both short and long term stay 
Amenities include
Ample parking are
Heated swimming pool
Fully equipped gym 
Rooftop chill area
Children play ground",1 bedroom,1 bathroom,Not available,Kagundo road,Siaya park,100,Fairly Used,Furnished,,Not available,1,Not available,,Not available,kenya,,,10/05/2024,"En Suite

|



Backup Generator

|



Aircon","Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Gated Community",,
1bdrm Block of Flats in Ngumba Estate for rent,Block of Flats,"Ngumba estate Bedsitter, very SPACIOUS with modern kitchen. With Seperate Toilet and bathrooms. 
CALL",1 bedroom,1 bathroom,Not available,Behind Garden City Mall.,Ngumba estate,180,Fairly Used,Unfurnished,,2500,1,Not available,,Not available,kenya,,,10/05/2024,"CCTV

|



Parking

|



Kids Play Area

|



Garden

|



Balcony

|



Electric Fence","Bus Stop

|



Shopping Centre

|



Hospital

|



Scenic View

|



School",,
"3bdrm Apartment in Kisimani, Bombolulu for rent",Apartment,"3 BEDROOMS - KISIMANI 
 Walking distance from the Highway, 
 Each bedroom with balcony and all bedrooms ensuites
 Very spacious kitchen, spacious sitting room with balcony
 Swimming pool, high speed lift, parking
 Caretaker, modern finishings , ceiling fans and tokens
FOR KSHS.35,000
CALL",3 bedrooms,3 bathrooms,Not available,KISIMANI,KISIMANI,10,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Furnished

|



Service Charge Included

|



Fibre Internet","Parking

|



Garden

|



CCTV

|



Electric Fence",,
Two Bedrooms Langata,Apartment,"Two bedrooms in a gated community with security guard 24/7. Has ample underground parking,borehole water, and fitted cabinets and wardrobes. For more details and to book viewing call Maryanne",2 bedrooms,1 bathroom,Not available,Newly-Built,Standard,,4,No Pets,,Yes,"24-hour Electricity, TV, Hot Water, Wi-Fi",5000,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



Fibre Internet","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Swimming Pool",,
2bdrm Apartment in Langata for Rent,Apartment,"This beautiful 2 bedroom apartment with lovely gypsum finishes is up for rent.
It's in the 2nd floor in a very secure and quiet apartment complex with only 8 apartments.
It has adequate supply of water and has easy access to public transport, schools and social amenities.
Rent is inclusive of service charge and water bills.",2 bedrooms,1 bathroom,Not available,langata,Renovated,,No Pets,"Pre-Paid Meter, Tiled Floor, Kitchen Cabinets, Kitchen Shelf, Wi-Fi, 24-hour Electricity, Wardrobe, Apartment, Balcony",,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Fibre Internet","Balcony

|



CCTV

|



Electric Fence",,
"2bdrm Apartment in Kirigiti -Loith, Kiambu / Kiambu  for rent",Apartment,"Executive and spacious two bedroom in kirigiti off kamiti road
spacious ,modern and executive two bedroom apartments available 
rent ksh 25000/-
kirigiti off kamiti road
features & amenities:
master ensuite
all bedrooms have inbuilt closets
modern finishing
elegant & classy cabinetry.
fitted closet and kitchen shelves
closed kitchen
fitted hot showers.
quality bathroom fittings
well lit rooms
serene environment
ample parking space
close proximity to tarmac and other facilities
internet facilities
cctv surveillance
constant water supply
 manned security gates 24/7
 balcony for every unit
@ 
dm or call",2 bedrooms,2 bathrooms,Not available,Kirigiti,Kirigiti -Loith apartment,60,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Fibre Internet

|



Walk In Closet","Balcony

|



CCTV

|



Electric Fence

|



Garden",,
Furnished 1bdrm Apartment in Westlands for Rent,Apartment,"* exotic furnishings and decor
* daily housekeeping services
* Wi-Fi
* gym
* full back up generator
* lifts
* borehole
* UN Approved security",1 bedroom,1 bathroom,Not available,School Lane,Newly-Built,,Pets Allowed,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



Fibre Internet

|



Walk In Closet

|



Aircon","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Parking

|



Staff Quarters

|



Kids Play Area",,
"1bdrm Apartment in Eastern Bypass, Ruiru for Rent",Apartment,"Executive Bedsitter to let!
Located in ruiru along the eastern bypass next to eneos japan oil company
the house is very spacious and very secure with a biometric screening at the entrance, dstv and internet access. 
The house is close to quick-mart supermarket along the eastern bypass and shell petrol station. Other features includes... Constant water supply, rooftop cloth drying area and ample parking.
The house is 50 metres from the super highway",1 bedroom,1 bathroom,Not available,Blessed Height,Eastern Bypass,3600,Newly-Built,Semi-Furnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Fibre Internet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking",,
3bdrm Maisonette in Langata for rent,Maisonette,"Elegant main house in a own compound, spacious and spacious parking, it's a big bedsitter outside the main house, family friendly, secure place",3 bedrooms,3 bathrooms,Not available,Langata,Langata,300,Detached,Fairly Used,,3,Unfurnished,2000,,Not available,kenya,,,10/05/2024,En Suite,Parking,,
"1bdrm Bedsitter in Msafiri, Gachami, Mahiga for rent",Bedsitter,"This is a spacious bed sitter (one unit remaining) with a shared compound with one other tenant. It is in a serene environment, secured area, about 200mts to the tarmack (Othaya-Nyeri Rd). Hot shower and clean water available. It's about 5km to Othaya town easily accessible by walking.",1 bedroom,1 bathroom,Not available,Opposite Rukira Polytechnic,"Msafiri, Gachami",16,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Aircon

|



Alarm","Kids Play Area

|



Pet Friendly

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Garden

|



Borehole

|



Electric Fence

|



CCTV

|



Parking

|



Lift/Elevator

|



BBQ

|



Balcony

|



Gym",,
"1bdrm Room Parlour in Kambi Moto Sgr, Kandisi for Rent",Room & Parlour,"Spacious Single Rooms 
Secure Location 
NO CHARGE ffor Water 
Pre-paid KPLC Tokens 
Well-lit rooms",1 bedroom,1 bathroom,Not available,METRO,Kambi Moto SGR,20,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,En Suite,"Balcony

|



Garden

|



Parking

|



Staff Quarters

|



Gated Community

|



Kids Play Area",,
2bdrm Shared Apartment in Nubian Estate Kisumu for rent,Shared Apartment,2 Bedroom house for rent in Brilliant Estate Kisumu,2 bedrooms,1 bathroom,Not available,Nubian Kisumu - Close to Brilliant Bar,Nubian Estate Kisumu,20,Renovated,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,23/11/2023,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Swimming Pool

|



Parking",,
"2bdrm Bungalow in Katheka Kai Area, Junction for rent",Bungalow,"Spacious modern 1br(10k)and 2 br (15k) bungalow with front & backyard. Katheka-Kai,Machakos town
Available immediately/now",2 bedrooms,1 bathroom,Not available,"Katheka Kai Area,Machakos town",Katheka Kai area,210,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,30/04/2024,"Aircon

|



Alarm

|



Backup Generator

|



Fibre Internet

|



Furnished

|



Service Charge Included","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Lift/Elevator

|



Wheelchair Access

|



Pet Friendly",,
1bdrm Apartment in Katani Shopping for rent,Apartment,"Newly built with ample parking space and tight security.
It is near Newlife Mwangaza Rehabilitation center.
Consider calling for efficiency.",1 bedroom,1 bathroom,Not available,Katani,Katani shopping center,,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,25/04/2024,Fibre Internet,"Balcony

|



Garden

|



Parking

|



Kids Play Area

|



Gated Community

|



Wheelchair Access

|



Pet Friendly",,
2bdrm Apartment in Kiti for Rent,Apartment,"Modern and spacious
has an ample parking
serene environment",2 bedrooms,2 bathrooms,Not available,kiti,kiti,,Unfurnished,Pets Allowed,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"En Suite

|



Furnished","Parking

|



Balcony",,
"2bdrm Apartment in Chaka Road, Kilimani for rent",Apartment,"An exclusively modern 2bedroom plus Dsq all en-suite apartment for rent located in the heart of Kilimani.
- High quality finishes 
- Spacious living room 
- Dining room 
- Open plan kitchen 
- Laundry area 
- Visitors cloakroom 
- Well eqquiped gym 
- Backup generator 
- Borehole and Nairobi water 
- High speed elevators 
- CCTV surveillance system 
- 24hr company security",2 bedrooms,2 bathrooms,Not available,Kilimani Nairobi,CHAKA ROAD,166,Renovated,Semi-Furnished,,Not available,3,Not available,,Not available,kenya,,,10/05/2024,"En Suite

|



Furnished","Parking

|



Balcony",,
2bdrm Apartment in Kileleshwa for rent,Apartment,"Conveniently located along Gatundu Road in Kileleshwa is this 2 bedrooms apartments.
It's comprises of spacious living room and dining area, modern kitchen and two well lit bedrooms.
Amenities:- Gym, Lift and play area.
Monthly Rent:ksh 65000
Contact:",2 bedrooms,2 bathrooms,Not available,Kileleshwa,Kileleshwa,750,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet

|



Furnished

|



Serviced

|



Aircon

|



Alarm

|



Backup Generator","Kids Play Area

|



Parking

|



Pet Friendly

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Garden

|



Borehole

|



Electric Fence

|



CCTV

|



BBQ

|



Lift/Elevator

|



Gym

|



Balcony",,
3bdrm Bungalow in Ruiru Githunguri for rent,Bungalow,"3 bedroom bungalow master ensuite.
Located at ruiru githunguri road 
4km from ruiru town 
45k per month.",3 bedrooms,3 bathrooms,Not available,Spacious 3 bedroom bungalow,Ruiru githunguri,166,Fairly Used,Unfurnished,,Not available,2,Not available,,Not available,kenya,,,10/05/2024,En Suite,"Balcony

|



Parking

|



Swimming Pool",,
Mini Flat in Buruburu Estate for Rent,Mini Flat,"Morden 2bedroom, morden finishing items, tiled floor, big bedroom, big kitchen gated court.",2 bedrooms,1 bathroom,Not available,buruburu road,Buruburu estate,800,Renovated,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,En Suite,Balcony,,
"5bdrm Maisonette in Gasharage, Ruaka for rent",Maisonette,"5 bedrooms massionate in Ruaka/Gasharage area Ideal for lease to, NGOs, kindergarten, School, Company offices, hospital etc, on 1/4acre plot, few meters from limuru highway, water, with open lease, and servant quarter.",5 bedrooms,3 bathrooms,Not available,Gasharage 1.5km from Two Rivers Mall,Gasharage,2023,Fairly Used,Unfurnished,,Not available,3,Not available,,Not available,kenya,,,10/05/2024,"Walk In Closet

|



Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Alarm

|



Aircon","Pet Friendly

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Borehole

|



Garden

|



Electric Fence

|



Parking

|



Lift/Elevator

|



Kids Play Area

|



Gym

|



Balcony

|



BBQ

|



CCTV",,
4bdrm Maisonette in Kitengela for rent,Maisonette,"2 bedroom house to let in kitengela
 
4 massionete to let
features include;
*own compound compound 
*large rooms
*in-built wardrobes
* dinning area
*500 off tarmac
*bore-hole water connection
 
rent per month ksh 50,000/- inclusive
call/ whatsapp",4 bedrooms,3 bathrooms,Not available,Kitengela Epz,"195
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Gated Community

|



Kids Play Area

|



Pet Friendly",,
3bdrm Bungalow in Kitengela for rent,Bungalow,"Spacious Three bedroom apartment to let in Kitengela Milimanj
Rent is 30k",3 bedrooms,2 bathrooms,Not available,Kitengela,"138
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished

|



En Suite","Balcony

|



Parking

|



CCTV

|



Gym

|



Gated Community

|



Lift/Elevator

|



Swimming Pool",,
3bdrm Apartment in Kilimani for rent,Apartment,"3 BEDROOM APARTMENT AT KSH 135K 
Spacious modern 3 bedroom plus dsq apartment to let in kilimani 
Swimming pool 
Fully equipped gym 
Borehole 
Backup generator",3 bedrooms,3 bathrooms,Not available,kirichwa road,"185
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet

|



Service Charge Included","BBQ

|



Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Gated Community

|



Kids Play Area",,
2bdrm Apartment in Ngoingwa for rent,Apartment,"This is a newly built beautiful two bedroom Apartment to let in Ngoingwa Estate (Ufanisi) Thika. It is in close proximity to social amenities like schools (Braeburn Imani International School), hospitals Avenue Hospital Thika Nursing Home, Naidu Hospital), Malls (Thika West Mall), and fronts the Thika-Mangu tarmac road.
Features.
Well-lit living room
Modern washrooms
Spacious bedrooms with inbuilt Cabinets
Ample and Secure parking.",2 bedrooms,1 bathroom,Not available,thika,ngoingwa,90,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet

|



Service Charge Included

|



Serviced","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Swimming Pool

|



Parking

|



Lift/Elevator

|



Gym

|



Gated Community

|



Kids Play Area",,
2bdrm Apartment in Nyali for rent,Apartment,A very beautiful apartment in a safe and serene environment. Second row from the beach. 5minutes walk to the beach.,2 bedrooms,1 bathroom,Not available,Off Mt. Kenya road,"2500
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet

|



Service Charge Included","BBQ

|



Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Swimming Pool

|



Parking

|



Lift/Elevator

|



Gym

|



Gated Community

|



Wheelchair Access",,
2bdrm Apartment in Lavington for rent,Apartment,"A nicely done two bedroomed apartment in lavington with both borehole water and city county ,strong internet providers ie zuku, safaricom,ample parking and closer to major shopping malls and prestigious schools eg braeburn.",2 bedrooms,1 bathroom,Not available,lavington,lavington,140,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Fibre Internet

|



En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Parking

|



CCTV

|



Kids Play Area

|



Gated Community

|



Swimming Pool

|



Borehole

|



Garden

|



Wheelchair Access

|



Electric Fence",,
