property_name,Estate_name,property_address,property_location
4bdrm Maisonette,Yukos-Kitengela ,Yukos,Not available
Furnished 2bdrm Shared Apartment,Yohani Appartments-Ongata Rongai,Basics Home Stays,Not available
Furnished 1bdrm Bedsitter,Yellow House-Mtambo ,Yellow house,Not available
Furnished 1bdrm Bedsitter,Yellow House-Mtambo ,Yellow house,Not available
4bdrm Apartment,Yaya-Kilimani-Hurlingham ,Yaya- Kilimani,Not available
3bdrm Apartment,Yaya-Kilimani ,Yaya,Not available
Furnished 3bdrm Apartment,Yaya-Kilimani ,Yaya,Not available
1bedroomed Fully Furnished Apartment to Let,Yaya- Marcus Garvey Road,Yaya- Marcus Garvey Road,Not available
Furnished 3bdrm Apartment,Yaya Centre-Kilimani ,Hurlingham,Not available
2bdrm Apartment,Yaya Centre-Kilimani ,Kilimani Nairobi,Not available
3bdrm Apartment,Yaya Centre-Kilimani ,Yaya centre,Not available
Furnished 4bdrm Apartment,Yaya Centre-Hurlingham ,Kilimani,Not available
Furnished 3bdrm Apartment,Yaya Centre,Yaya Centre,Not available
3bdrm Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
3bdrm Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
Studio Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
2bdrm Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
3bdrm Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
Furnished 2bdrm Apartment,Yaya Center-Kilimani ,Kilimani Nairobi,Not available
2bdrm Apartment,Yaya Center-Kilimani ,Yaya center,Not available
2bdrm Apartment,Yamogo DriveShule-Banana ,YAMOGO DRIVE(SHULE),Not available
Furnished 3bdrm Apartment,Xanadu Luxury-Bamburi Beach ,Xanadu Luxury Apartments,Not available
4bdrm Bungalow,Wote ,Westlands wote,Not available
2bdrm Apartment,Works-Lanet ,Works street,Not available
305 m Commercial Property with Service Charge Included at Woodvale Groove,Woodvale Groove- Westlands Area- Westlands,Woodvale Groove,Nairobi Westlands
4 Bed House with En Suite at Woodvale Drive,Woodvale Drive- Runda- Westlands,Woodvale Drive,Nairobi Westlands
Office with Service Charge Included at Woodvale Close,Woodvale Close- Westlands Area- Westlands,Woodvale Close,Nairobi Westlands
Office with Service Charge Included at Woodvale Close,Woodvale Close- Westlands Area- Westlands,Woodvale Close,Nairobi Westlands
Furnished 2bdrm Block of Flats,Woodvale Avenue-Kilimani ,Staroot Residency,Not available
1bdrm Apartment,Woodley-Kenyatta Golf Course ,Kenyatta market,Not available
Studio Apartment,Woodley-Kenyatta Golf Course ,Ngumo,Not available
2bdrm Apartment,Woodley-Kenyatta Golf Course ,Woodley,Not available
2bdrm Apartment,Woodley Estate ,Adams arcade,Not available
2bdrm Apartment,Woodley Estate ,Adams arcade,Not available
1bdrm Bedsitter,Woodley Estate ,Suna road,Not available
2bdrm Apartment,Woodley Estate ,Woodley Estate,Not available
Mini Flat,Woodlands Off Btl-Membley Estate ,Membley Woodlands,Not available
3bdrm Apartment,Wood Avenue-Kilimani ,Kilimani Nairobi,Not available
Furnished 3bdrm Apartment,Wood Avenue-Kilimani ,Kilimani Nairobi,Not available
Furnished 2bdrm Apartment,Wood Avenue-Kilimani ,Wood avenue,Not available
Serviced 2 Bed Apartment with En Suite at Wood Avenue,WOOD AVENUE- STAROOT- Kilimani,WOOD AVENUE- STAROOT- Kilimani,"Nairobi, Kilimani"
4bdrm Apartment,Wood Avenue Kilimani-Hurlingham ,Kilimani 3 with DSQ all en-suite apt for rent,Not available
Furnished 2 Bed Apartment with En Suite at Wood Avenue,wood avenue- Kilimani,wood avenue- Kilimani,"Nairobi, Kilimani"
